Frequency,Channel A,Channel C
(ms),(V),(mV)

-230.52913774,-0.58552070,-51.09266000
-230.42913774,-0.58881700,-50.28385000
-230.32913774,-0.59101450,-49.21560000
-230.22913775,-0.59431080,-46.78915000
-230.12913775,-0.59870590,-39.79978000
-230.02913775,-0.59980460,-37.64803000
-229.92913775,-0.60200220,-37.38860000
-229.82913776,-0.60639730,-37.11390000
-229.72913776,-0.60859480,-36.83921000
-229.62913776,-0.61408870,-36.57978000
-229.52913776,-0.61518740,-35.49627000
-229.42913777,-0.61848370,-35.49627000
-229.32913777,-0.61848370,-35.77097000
-229.22913777,-0.62068120,-35.77097000
-229.12913777,-0.62293980,-34.96215000
-229.02913778,-0.62733490,-35.49627000
-228.92913778,-0.62843360,-35.49627000
-228.82913778,-0.63282870,-34.96215000
-228.72913778,-0.63282870,-34.68746000
-228.62913779,-0.63722380,-34.96215000
-228.52913779,-0.63942130,-34.96215000
-228.42913779,-0.64161880,-33.08509000
-228.32913779,-0.64491520,-33.61922000
-228.22913780,-0.64601390,-33.89390000
-228.12913780,-0.64931020,-33.61922000
-228.02913780,-0.65040900,-33.61922000
-227.92913780,-0.65370530,-32.81040000
-227.82913781,-0.65590280,-32.81040000
-227.72913781,-0.65480410,-31.46746000
-227.62913781,-0.65810040,-30.65865000
-227.52913781,-0.65919910,-30.38396000
-227.42913782,-0.66365520,-30.38396000
-227.32913782,-0.66475400,-29.84983000
-227.22913782,-0.66695150,-30.38396000
-227.12913782,-0.67024780,-30.38396000
-227.02913783,-0.67134660,-29.84983000
-226.92913783,-0.67244540,-29.31571000
-226.82913783,-0.67464290,-29.04102000
-226.72913783,-0.67574170,-29.31571000
-226.62913784,-0.67684040,-28.78159000
-226.52913784,-0.67903790,-29.04102000
-226.42913784,-0.68013670,-29.84983000
-226.32913785,-0.68123550,-28.78159000
-226.22913785,-0.68453180,-28.78159000
-226.12913785,-0.68453180,-28.78159000
-226.02913785,-0.68782810,-28.24747000
-225.92913786,-0.68892690,-26.35514000
-225.82913786,-0.69002560,-25.01221000
-225.72913786,-0.69002560,-24.20339000
-225.62913786,-0.69442070,-23.39458000
-225.52913787,-0.69551940,-22.86045000
-225.42913787,-0.69332190,-22.86045000
-225.32913787,-0.69551940,-20.98339000
-225.22913787,-0.69771700,-19.64046000
-225.12913788,-0.69771700,-19.09107000
-225.02913788,-0.69997560,-19.36577000
-224.92913788,-0.70217310,-18.83164000
-224.82913788,-0.70437060,-17.74814000
-224.72913789,-0.70327190,-18.02283000
-224.62913789,-0.70546940,-16.95458000
-224.52913789,-0.70327190,-16.67989000
-224.42913789,-0.70766690,-16.67989000
-224.32913790,-0.70766690,-16.95458000
-224.22913790,-0.70766690,-16.67989000
-224.12913790,-0.70986450,-16.40520000
-224.02913790,-0.70986450,-16.40520000
-223.92913791,-0.70986450,-16.14577000
-223.82913791,-0.71096320,-15.87108000
-223.72913791,-0.71206200,-15.59639000
-223.62913791,-0.71316080,-15.87108000
-223.52913792,-0.71425960,-15.87108000
-223.42913792,-0.71316080,-15.59639000
-223.32913792,-0.71425960,-15.06226000
-223.22913792,-0.71425960,-15.59639000
-223.12913793,-0.71535830,-15.06226000
-223.02913793,-0.71425960,-15.06226000
-222.92913793,-0.71645710,-15.33695000
-222.82913793,-0.71645710,-15.33695000
-222.72913794,-0.71755580,-14.80283000
-222.62913794,-0.71645710,-14.80283000
-222.52913794,-0.71755580,-14.25345000
-222.42913794,-0.71755580,-14.80283000
-222.32913795,-0.71865460,-13.99402000
-222.22913795,-0.71755580,-14.25345000
-222.12913795,-0.71865460,-13.71933000
-222.02913795,-0.71865460,-13.71933000
-221.92913796,-0.71755580,-13.99402000
-221.82913796,-0.71865460,-13.44463000
-221.72913796,-0.71865460,-12.91051000
